"exposure_model","term","estimate","std_error","statistic","df","p_value","conf_low","conf_high"
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","dairy_quartile_baselineQ4",0.067,0.035,1.914,1582.8,"0.056",-0.002,0.135
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","time_since_baseline",-0.051,0.002,-27.657,252.2,"<0.001",-0.055,-0.047
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","age_at_baseline_scaled",-0.128,0.024,-5.403,2902.7,"<0.001",-0.175,-0.082
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryUnderweight",-0.336,0.067,-4.976,2907,"<0.001",-0.468,-0.203
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryOverweight",0.436,0.023,18.798,803.1,"<0.001",0.39,0.481
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","BMI_categoryObese",0.964,0.037,25.951,329.4,"<0.001",0.891,1.037
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","education_levelMedium (ISCED 3-4)",-0.034,0.045,-0.746,3007.3,"0.456",-0.123,0.055
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","education_levelHigh (ISCED 5-8)",-0.122,0.061,-1.982,2955.5,"0.048",-0.242,-0.001
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","smoking_statusFormer",0.067,0.035,1.932,3016.7,"0.053",-0.001,0.136
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","smoking_statusCurrent",-0.034,0.043,-0.79,2193.8,"0.43",-0.117,0.05
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","pa_levels_tertile_f1Medium",-0.008,0.043,-0.189,687.9,"0.85",-0.094,0.077
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","pa_levels_tertile_f1High",0.099,0.046,2.131,805.7,"0.033",0.008,0.19
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","diabetes_statusDiabetes",0.083,0.04,2.054,1080.4,"0.04",0.004,0.161
"ALM_HT2_harmonised___dairy_quartile_baseline__categorical______main_coefs","sumtot1_scaled",-0.034,0.016,-2.122,304.6,"0.035",-0.065,-0.002
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","(Intercept)",6.195,0.056,111.005,2040.3,"<0.001",6.086,6.305
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","fermented_100g",0.01,0.01,1.027,1230,"0.305",-0.009,0.03
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","time_since_baseline",-0.051,0.002,-27.715,248.8,"<0.001",-0.054,-0.047
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","age_at_baseline_scaled",-0.127,0.024,-5.342,2907.5,"<0.001",-0.174,-0.08
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","BMI_categoryUnderweight",-0.336,0.067,-4.982,2903.7,"<0.001",-0.468,-0.204
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","BMI_categoryOverweight",0.435,0.023,18.764,800.9,"<0.001",0.389,0.48
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","BMI_categoryObese",0.962,0.037,25.888,327.8,"<0.001",0.889,1.035
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","education_levelMedium (ISCED 3-4)",-0.034,0.045,-0.74,3003.5,"0.459",-0.123,0.055
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","education_levelHigh (ISCED 5-8)",-0.122,0.062,-1.979,2951.8,"0.048",-0.243,-0.001
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","smoking_statusFormer",0.065,0.035,1.846,3019.4,"0.065",-0.004,0.133
